City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,mahdia,35.5047,11.0622,22.970000000000027,54,7,5.84,TN,1682357373
294,kuala belait,4.5833,114.1833,25.090000000000032,90,91,1.92,BN,1682357373
295,antsiranana,-12.2787,49.2917,25.83000000000004,85,98,0.9,MG,1682357374
296,balassagyarmat,48.073,19.2961,11.490000000000009,91,100,2.97,HU,1682357374
297,porto novo,6.4965,2.6036,29.900000000000034,71,100,2.5,BJ,1682357375
298,general conesa,-40.1,-64.4333,24.460000000000036,27,0,8.08,AR,1682357375
299,greymouth,-42.4667,171.2,9.270000000000039,79,73,1.24,NZ,1682357376
300,holualoa,19.6228,-155.9522,21.54000000000002,70,0,2.06,US,1682357377
301,dunedin,-45.8742,170.5036,13.930000000000007,10,100,7.86,NZ,1682357273
302,westport,41.1415,-73.3579,15.810000000000002,55,0,6.17,US,1682357378
303,alexandria,31.2156,29.9553,18.730000000000018,73,6,5.98,EG,1682357378
304,port mathurin,-19.6833,63.4167,26.350000000000023,83,92,8.8,MU,1682357379
305,puerto baquerizo moreno,-0.9,-89.6,28.55000000000001,79,40,3.09,EC,1682357379
306,lihue,21.9789,-159.3672,21.58000000000004,90,0,3.09,US,1682357380
307,kavieng,-2.5744,150.7967,28.730000000000018,76,36,5.66,PG,1682357380
308,aktau,43.65,51.2,25.32000000000005,24,70,13.49,KZ,1682357381
309,hammerfest,70.6634,23.6821,-0.75,74,20,1.03,NO,1682357381
310,porbandar,21.6422,69.6093,27.560000000000002,64,76,5.42,IN,1682357381
311,hami,42.8,93.45,13.610000000000014,19,3,0.68,CN,1682357382
312,bayanhongor,46.7167,100.1167,-3.3999999999999773,49,29,2.05,MN,1682357382
313,natchitoches,31.7668,-93.1335,18.99000000000001,45,40,5.14,US,1682357383
314,grand falls-windsor,48.9332,-55.6649,4.720000000000027,90,100,3.13,CA,1682357384
315,vernon,50.2581,-119.2691,11.450000000000045,77,79,1.03,CA,1682357209
316,kolonia town,6.964,158.206,28.140000000000043,77,96,7.08,FM,1682357387
317,ayorou,14.7308,0.9174,40.07000000000005,9,1,3.15,NE,1682357388
318,saint-pierre,-21.3393,55.4781,26.82000000000005,78,0,1.03,RE,1682357388
319,krasnoturansk,54.3186,91.5639,6.720000000000027,59,100,2.99,RU,1682357389
320,botucatu,-22.8858,-48.445,23.5,47,0,2.43,BR,1682357160
321,jaguaruna,-28.615,-49.0256,26.80000000000001,66,28,5.32,BR,1682357343
322,sompeta,18.9333,84.6,25.390000000000043,68,100,2.31,IN,1682357391
323,vila franca do campo,37.7167,-25.4333,18.230000000000018,87,81,3.68,PT,1682357391
324,berdigestyakh,62.0989,126.6992,-3.9599999999999795,89,100,6.02,RU,1682357392
325,longyearbyen,78.2186,15.6401,-7.089999999999975,63,0,2.57,SJ,1682357392
326,saldanha,-33.0117,17.9442,18.03000000000003,95,57,1.89,ZA,1682357393
327,pacasmayo,-7.4006,-79.5714,26.420000000000016,71,79,5.39,PE,1682357394
328,enewetak,11.3474,162.3373,25.910000000000025,88,100,8.61,MH,1682357395
